zeta,lambda,M_max,omega_M_max,Q_max,C_eff_max,R99_M_max,B_min
-0.16,15,1.63282,0.60781,2.36792,0.14357,13.60636,-0.090094872
-0.16,20,1.82209,0.60684,2.6483,0.14869,14.61366,-0.104831287
-0.15,-20,0.336162994,0.738262803,0.446823596,0.019098941,27.64434823,-0.0016039
-0.15,-17.5,0.35672,0.73685,0.47445,0.0219,26.03147,-0.001930488
-0.15,-15,0.38154,0.73372,0.50786,0.02568,24.07963,-0.002370956
-0.15,-13.75,0.39604,0.73169,0.52742,0.02811,22.99699,-0.002662045
-0.15,-12.5,0.41229,0.72957,0.54939,0.03106,22.04697,-0.003009804
-0.15,-11.25,0.43069,0.72676,0.5743,0.0347,20.8999,-0.003444401
-0.15,-10,0.45172,0.72378,0.60285,0.03934,19.83258,-0.003996647
-0.15,-9.375,0.46342,0.72177,0.61877,0.04217,19.25932,-0.004328595
-0.15,-8.75,0.47605,0.71986,0.63598,0.04545,18.64332,-0.004708132
-0.15,-8.125,0.48972,0.71715,0.65464,0.0493,18.00014,-0.005143766
-0.15,-7.5,0.50458,0.71438,0.67497,0.05388,17.34303,-0.005649361
-0.15,-6.875,0.5208,0.71128,0.6972,0.05949,16.68415,-0.006240983
-0.15,-6.25,0.53856,0.70759,0.72161,0.0665,15.97274,-0.006935887
-0.15,-5.625,0.55809,0.70353,0.74854,0.07571,15.28598,-0.007757935
-0.15,-5,0.57964,0.69883,0.77835,0.08953,14.58032,-0.008747295
-0.15,-4.375,0.60348,0.69369,0.81147,0.09382,13.91232,-0.009933662
-0.15,-3.75,0.62988,0.68734,0.8483,0.09525,13.17442,-0.011374525
-0.15,-3.125,0.65903,0.68022,0.88916,0.0975,12.46213,-0.013111782
-0.15,-2.5,0.69096,0.67275,0.93415,0.10017,11.82897,-0.015191025
-0.15,-1.875,0.72542,0.66491,0.98295,0.10295,11.2599,-0.017622798
-0.15,-1.25,0.76183,0.65781,1.03475,0.10574,10.82572,-0.020377477
-0.15,-0.625,0.7994,0.65232,1.08839,0.10843,10.57995,-0.023350387
-0.15,0,0.837381428,0.646924968,1.142755286,0.110990363,10.39714032,-0.026460371
-0.15,5,1.1193,0.63539,1.54709,0.12649,10.94348,-0.050190113
-0.15,10,1.35363,0.63337,1.88247,0.13625,12.00178,-0.069386004
-0.15,15,1.55506,0.6314,2.17015,0.14305,13.01523,-0.085419202
-0.15,20,1.733955196,0.631327772,2.425253279,0.14817346,13.93667475,-0.099363959
-0.14,-20,0.32919,0.76379,0.42316,0.01966,26.29253,-0.001615937
-0.14,-17.5,0.34925,0.76149,0.44923,0.02254,24.78386,-0.001935437
-0.14,-15,0.37345,0.75827,0.48076,0.02644,22.99203,-0.00237738
