phi0,omega,M,Q,R_eff,C_eff
0.311,0.98078,0.34674,0.30164,5.68373,0.06101
0.312,0.98039,0.34646,0.30135,5.67221,0.06108
0.313,0.97999,0.34617,0.30106,5.66118,0.06115
0.314,0.9796,0.34589,0.30077,5.65066,0.06121
0.315,0.97921,0.34561,0.30048,5.64008,0.06128
0.316,0.97882,0.34532,0.30019,5.62942,0.06134
0.317,0.97842,0.34504,0.2999,5.61868,0.06141
0.318,0.97803,0.34476,0.29961,5.60787,0.06148
0.319,0.97764,0.34448,0.29932,5.59698,0.06155
0.32,0.97725,0.34419,0.29903,5.58602,0.06162
0.321,0.97686,0.34391,0.29874,5.57498,0.06169
0.322,0.97647,0.34363,0.29845,5.5645,0.06175
0.323,0.97608,0.34335,0.29816,5.55444,0.06182
0.324,0.97569,0.34307,0.29788,5.54432,0.06188
0.325,0.9753,0.34279,0.29759,5.53412,0.06194
0.326,0.97491,0.34251,0.2973,5.52386,0.06201
0.327,0.97452,0.34223,0.29701,5.51352,0.06207
0.328,0.97413,0.34195,0.29673,5.50311,0.06214
0.329,0.97374,0.34167,0.29644,5.49264,0.06221
0.33,0.97335,0.34139,0.29615,5.48209,0.06227
0.331,0.97296,0.34111,0.29587,5.47175,0.06234
0.332,0.97257,0.34084,0.29558,5.46215,0.0624
0.333,0.97218,0.34056,0.29529,5.4525,0.06246
0.334,0.9718,0.34028,0.29501,5.44278,0.06252
0.335,0.97141,0.34,0.29472,5.433,0.06258
0.336,0.97102,0.33973,0.29444,5.42315,0.06264
0.337,0.97063,0.33945,0.29415,5.41324,0.06271
0.338,0.97024,0.33917,0.29387,5.40326,0.06277
0.339,0.96986,0.3389,0.29358,5.39322,0.06284
0.34,0.96947,0.33862,0.2933,5.38311,0.0629
0.341,0.96908,0.33835,0.29301,5.37347,0.06297
0.342,0.9687,0.33807,0.29273,5.3643,0.06302
0.343,0.96831,0.3378,0.29245,5.35507,0.06308
0.344,0.96792,0.33753,0.29216,5.34577,0.06314
0.345,0.96754,0.33725,0.29188,5.33642,0.0632
0.346,0.96715,0.33698,0.2916,5.32701,0.06326
0.347,0.96677,0.33671,0.29132,5.31754,0.06332
0.348,0.96638,0.33644,0.29103,5.30801,0.06338
0.349,0.966,0.33616,0.29075,5.29842,0.06345
0.35,0.96561,0.33589,0.29047,5.28877,0.06351
0.351,0.96523,0.33562,0.29019,5.27938,0.06357
0.352,0.96484,0.33535,0.28991,5.27064,0.06363
0.353,0.96446,0.33508,0.28963,5.26184,0.06368
0.354,0.96407,0.33481,0.28935,5.25299,0.06374
0.355,0.96369,0.33454,0.28907,5.24409,0.06379
0.356,0.9633,0.33427,0.28879,5.23513,0.06385
0.357,0.96292,0.33401,0.28851,5.22611,0.06391
0.358,0.96253,0.33374,0.28823,5.21704,0.06397
0.359,0.96215,0.33347,0.28795,5.20792,0.06403
0.36,0.96177,0.3332,0.28768,5.19874,0.06409
0.361,0.96138,0.33294,0.2874,5.1895,0.06416
0.362,0.961,0.33267,0.28712,5.18083,0.06421
0.363,0.96062,0.3324,0.28684,5.17248,0.06426
0.364,0.96023,0.33214,0.28657,5.16408,0.06432
0.365,0.95985,0.33187,0.28629,5.15564,0.06437
0.366,0.95947,0.33161,0.28602,5.14714,0.06443
0.367,0.95909,0.33135,0.28574,5.13859,0.06448
0.368,0.9587,0.33108,0.28546,5.12999,0.06454
0.369,0.95832,0.33082,0.28519,5.12134,0.0646
0.37,0.95794,0.33056,0.28492,5.11264,0.06465
0.371,0.95756,0.33029,0.28464,5.10388,0.06471
0.372,0.95717,0.33003,0.28437,5.09508,0.06477
0.373,0.95679,0.32977,0.28409,5.08663,0.06483
