phi0,omega,M,Q,R_eff,C_eff
1.50193,0.8719,0.24439,0.17812,3.7484,0.0652
1.50293,0.87185,0.24444,0.17818,3.74851,0.06521
1.50393,0.87181,0.2445,0.17823,3.74861,0.06522
1.50493,0.87176,0.24455,0.17829,3.74869,0.06524
1.50593,0.87171,0.2446,0.17834,3.74876,0.06525
1.50693,0.87166,0.24466,0.1784,3.74881,0.06526
1.50793,0.87161,0.24471,0.17845,3.74885,0.06528
1.50893,0.87156,0.24477,0.17851,3.74888,0.06529
1.50935,0.87153,0.24479,0.17853,3.74889,0.0653
1.51035,0.87148,0.24484,0.17859,3.7489,0.06531
1.51135,0.87143,0.2449,0.17864,3.7489,0.06532
1.51235,0.87137,0.24495,0.17869,3.74888,0.06534
1.51335,0.87132,0.245,0.17875,3.74885,0.06535
1.51435,0.87126,0.24506,0.1788,3.74881,0.06537
1.51535,0.8712,0.24511,0.17885,3.74876,0.06538
1.51635,0.87115,0.24516,0.17891,3.74869,0.0654
1.51735,0.87109,0.24521,0.17896,3.74862,0.06541
1.51835,0.87103,0.24527,0.17901,3.74853,0.06543
1.51935,0.87097,0.24532,0.17906,3.74843,0.06545
1.52035,0.87091,0.24537,0.17912,3.74831,0.06546
1.52135,0.87085,0.24542,0.17917,3.74819,0.06548
1.52235,0.87078,0.24547,0.17922,3.74805,0.06549
1.52277,0.87076,0.24549,0.17924,3.74799,0.0655
1.52377,0.87069,0.24554,0.17929,3.74784,0.06552
1.52477,0.87063,0.2456,0.17934,3.74768,0.06553
1.52577,0.87057,0.24565,0.1794,3.7475,0.06555
1.52677,0.8705,0.2457,0.17945,3.74732,0.06557
1.52777,0.87044,0.24575,0.1795,3.74712,0.06558
1.52877,0.87037,0.2458,0.17955,3.74691,0.0656
1.52977,0.8703,0.24585,0.1796,3.74669,0.06562
1.53077,0.87023,0.2459,0.17965,3.74647,0.06563
1.53177,0.87017,0.24595,0.1797,3.74623,0.06565
1.53277,0.8701,0.24599,0.17975,3.74598,0.06567
1.53377,0.87003,0.24604,0.17979,3.74572,0.06569
1.53477,0.86996,0.24609,0.17984,3.74545,0.0657
1.53577,0.86989,0.24614,0.17989,3.74517,0.06572
1.5362,0.86986,0.24616,0.17991,3.74504,0.06573
1.5372,0.86978,0.24621,0.17996,3.74475,0.06575
1.5382,0.86971,0.24626,0.18001,3.74444,0.06577
1.5392,0.86964,0.24631,0.18006,3.74418,0.06578
