phi0,omega,M,Q,R_eff,C_eff
0.352,0.51798,0.55295,0.95483,13.68689,0.0404
0.353,0.51785,0.55242,0.95381,13.66315,0.04043
0.354,0.51772,0.55189,0.95279,13.63926,0.04046
0.355,0.51759,0.55137,0.95177,13.61556,0.0405
0.356,0.51746,0.55084,0.95075,13.59283,0.04052
0.357,0.51734,0.55031,0.94973,13.56996,0.04055
0.358,0.51721,0.54979,0.94872,13.54693,0.04058
0.359,0.51708,0.54926,0.9477,13.52376,0.04061
0.36,0.51695,0.54874,0.94668,13.50044,0.04065
0.361,0.51683,0.54822,0.94567,13.47737,0.04068
0.362,0.5167,0.54769,0.94465,13.4552,0.0407
0.363,0.51657,0.54717,0.94364,13.43289,0.04073
0.364,0.51644,0.54665,0.94262,13.41045,0.04076
0.365,0.51631,0.54613,0.94161,13.38785,0.04079
0.366,0.51619,0.54561,0.9406,13.36512,0.04082
0.367,0.51606,0.54508,0.93959,13.34246,0.04085
0.368,0.51593,0.54456,0.93858,13.32087,0.04088
0.369,0.5158,0.54404,0.93757,13.29914,0.04091
0.37,0.51568,0.54353,0.93656,13.27727,0.04094
0.371,0.51555,0.54301,0.93555,13.25527,0.04097
0.372,0.51542,0.54249,0.93454,13.23314,0.04099
0.373,0.51529,0.54197,0.93354,13.21086,0.04102
0.374,0.51516,0.54145,0.93253,13.18968,0.04105
0.375,0.51504,0.54094,0.93152,13.16854,0.04108
0.376,0.51491,0.54042,0.93052,13.14727,0.04111
0.377,0.51478,0.53991,0.92952,13.12587,0.04113
0.378,0.51465,0.53939,0.92851,13.10433,0.04116
0.379,0.51453,0.53888,0.92751,13.08267,0.04119
0.38,0.5144,0.53836,0.92651,13.06149,0.04122
0.381,0.51427,0.53785,0.92551,13.04094,0.04124
0.382,0.51414,0.53734,0.92451,13.02027,0.04127
0.383,0.51401,0.53683,0.92351,12.99947,0.0413
0.384,0.51389,0.53632,0.92252,12.97855,0.04132
0.385,0.51376,0.5358,0.92152,12.9575,0.04135
0.386,0.51363,0.53529,0.92053,12.93633,0.04138
0.387,0.5135,0.53479,0.91953,12.91617,0.0414
0.388,0.51338,0.53428,0.91854,12.89611,0.04143
0.389,0.51325,0.53377,0.91754,12.87592,0.04145
0.39,0.51312,0.53326,0.91655,12.85562,0.04148
0.391,0.51299,0.53275,0.91556,12.8352,0.04151
0.392,0.51286,0.53225,0.91457,12.81465,0.04153
0.393,0.51274,0.53174,0.91358,12.79408,0.04156
0.394,0.51261,0.53124,0.9126,12.77463,0.04159
0.395,0.51248,0.53073,0.91161,12.75506,0.04161
0.396,0.51235,0.53023,0.91062,12.73537,0.04163
0.397,0.51222,0.52972,0.90964,12.71558,0.04166
0.398,0.5121,0.52922,0.90865,12.69566,0.04169
0.399,0.51197,0.52872,0.90767,12.67563,0.04171
0.4,0.51184,0.52822,0.90669,12.65564,0.04174
0.401,0.51171,0.52772,0.90571,12.63669,0.04176
0.402,0.51158,0.52722,0.90473,12.61763,0.04178
0.403,0.51146,0.52672,0.90375,12.59846,0.04181
0.404,0.51133,0.52622,0.90277,12.57918,0.04183
0.405,0.5112,0.52572,0.9018,12.55979,0.04186
0.406,0.51107,0.52522,0.90082,12.54029,0.04188
0.407,0.51094,0.52473,0.89985,12.52068,0.04191
0.408,0.51081,0.52423,0.89887,12.50222,0.04193
0.409,0.51069,0.52373,0.8979,12.48368,0.04195
0.41,0.51056,0.52324,0.89693,12.46503,0.04198
0.411,0.51043,0.52274,0.89596,12.44628,0.042
0.412,0.5103,0.52225,0.89499,12.42743,0.04202
0.413,0.51017,0.52176,0.89402,12.40847,0.04205
0.414,0.51004,0.52127,0.89305,12.3894,0.04207
0.415,0.50992,0.52077,0.89209,12.37105,0.0421
0.416,0.50979,0.52028,0.89112,12.35303,0.04212
0.417,0.50966,0.51979,0.89016,12.33492,0.04214
0.418,0.50953,0.5193,0.8892,12.31671,0.04216
0.419,0.5094,0.51882,0.88823,12.2984,0.04219
0.42,0.50927,0.51833,0.88727,12.27998,0.04221
0.421,0.50914,0.51784,0.88631,12.26146,0.04223
0.422,0.50902,0.51735,0.88536,12.243,0.04226
0.423,0.50889,0.51687,0.8844,12.22552,0.04228
0.424,0.50876,0.51638,0.88344,12.20795,0.0423
0.425,0.50863,0.5159,0.88249,12.19028,0.04232
0.426,0.5085,0.51541,0.88153,12.17252,0.04234
0.427,0.50837,0.51493,0.88058,12.15466,0.04236
0.428,0.50824,0.51445,0.87963,12.1367,0.04239
0.429,0.50811,0.51397,0.87868,12.11864,0.04241
0.43,0.50798,0.51349,0.87773,12.10096,0.04243
0.431,0.50786,0.513,0.87678,12.08393,0.04245
0.432,0.50773,0.51252,0.87583,12.06682,0.04247
0.433,0.5076,0.51205,0.87489,12.04961,0.04249
0.434,0.50747,0.51157,0.87394,12.03231,0.04252
0.435,0.50734,0.51109,0.873,12.01491,0.04254
0.436,0.50721,0.51061,0.87206,11.99742,0.04256
0.437,0.50708,0.51014,0.87112,11.97984,0.04258
0.438,0.50695,0.50966,0.87018,11.9627,0.0426
0.439,0.50682,0.50919,0.86924,11.94613,0.04262
0.44,0.50669,0.50871,0.8683,11.92948,0.04264
0.441,0.50656,0.50824,0.86736,11.91274,0.04266
0.442,0.50643,0.50777,0.86643,11.89591,0.04268
0.443,0.5063,0.5073,0.8655,11.879,0.04271
0.444,0.50617,0.50682,0.86456,11.86199,0.04273
0.445,0.50604,0.50635,0.86363,11.8449,0.04275
0.446,0.50591,0.50588,0.8627,11.82804,0.04277
0.447,0.50578,0.50541,0.86177,11.81194,0.04279
0.448,0.50565,0.50495,0.86084,11.79577,0.04281
0.449,0.50552,0.50448,0.85992,11.77951,0.04283
0.45,0.50539,0.50401,0.85899,11.76316,0.04285
0.451,0.50526,0.50355,0.85807,11.74674,0.04287
0.452,0.50513,0.50308,0.85714,11.73023,0.04289
0.453,0.505,0.50262,0.85622,11.71363,0.04291
0.454,0.50487,0.50215,0.8553,11.69695,0.04293
0.455,0.50474,0.50169,0.85438,11.68119,0.04295
0.456,0.50461,0.50123,0.85346,11.66549,0.04297
0.457,0.50448,0.50077,0.85255,11.64972,0.04299
0.458,0.50435,0.5003,0.85163,11.63387,0.043
0.459,0.50422,0.49984,0.85071,11.61794,0.04302
0.46,0.50409,0.49938,0.8498,11.60193,0.04304
0.461,0.50396,0.49893,0.84889,11.58584,0.04306
0.462,0.50383,0.49847,0.84798,11.56967,0.04308
0.463,0.5037,0.49801,0.84707,11.55368,0.0431
0.464,0.50357,0.49755,0.84616,11.53848,0.04312
0.465,0.50344,0.4971,0.84525,11.5232,0.04314
0.466,0.50331,0.49664,0.84435,11.50785,0.04316
0.467,0.50318,0.49619,0.84344,11.49243,0.04318
0.468,0.50305,0.49573,0.84254,11.47692,0.04319
0.469,0.50291,0.49528,0.84163,11.46134,0.04321
0.47,0.50278,0.49483,0.84073,11.44568,0.04323
0.471,0.50265,0.49438,0.83983,11.42995,0.04325
0.472,0.50252,0.49393,0.83893,11.41452,0.04327
0.473,0.50239,0.49348,0.83804,11.39974,0.04329
0.474,0.50226,0.49303,0.83714,11.3849,0.04331
0.475,0.50213,0.49258,0.83625,11.36998,0.04332
0.476,0.50199,0.49213,0.83535,11.35499,0.04334
0.477,0.50186,0.49169,0.83446,11.33992,0.04336
0.478,0.50173,0.49124,0.83357,11.32479,0.04338
0.479,0.5016,0.49079,0.83268,11.30957,0.0434
0.48,0.50147,0.49035,0.83179,11.29429,0.04342
0.481,0.50134,0.4899,0.8309,11.27915,0.04343
0.482,0.5012,0.48946,0.83002,11.26481,0.04345
0.483,0.50107,0.48902,0.82913,11.2504,0.04347
0.484,0.50094,0.48858,0.82825,11.23592,0.04348
0.485,0.50081,0.48814,0.82736,11.22138,0.0435
0.486,0.50068,0.4877,0.82648,11.20676,0.04352
0.487,0.50054,0.48726,0.8256,11.19208,0.04354
0.488,0.50041,0.48682,0.82472,11.17732,0.04355
0.489,0.50028,0.48638,0.82385,11.16249,0.04357
0.49,0.50015,0.48594,0.82297,11.1476,0.04359
0.491,0.50001,0.4855,0.82209,11.13348,0.04361
0.492,0.49988,0.48507,0.82122,11.11951,0.04362
0.493,0.49975,0.48463,0.82035,11.10549,0.04364
0.494,0.49962,0.4842,0.81948,11.0914,0.04366
0.495,0.49948,0.48376,0.81861,11.07724,0.04367
0.496,0.49935,0.48333,0.81774,11.06301,0.04369
0.497,0.49922,0.4829,0.81687,11.04872,0.04371
0.498,0.49908,0.48247,0.816,11.03437,0.04372
0.499,0.49895,0.48204,0.81514,11.01994,0.04374
0.5,0.49882,0.48161,0.81427,11.00555,0.04376
0.501,0.49868,0.48118,0.81341,10.99204,0.04378
0.502,0.49855,0.48075,0.81255,10.97847,0.04379
0.503,0.49842,0.48032,0.81169,10.96484,0.04381
0.504,0.49828,0.47989,0.81083,10.95115,0.04382
0.505,0.49815,0.47947,0.80997,10.93739,0.04384
